epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.148084,56.3742,2.687431,26.7392,0.00099975
2,0.758998,70.5061,2.692745,24.6569,0.00099901
3,0.692429,73.0251,2.831311,22.9058,0.00099778
4,0.599062,76.2299,2.932755,21.5334,0.00099606
5,0.5751,77.1405,3.214965,25.8874,0.00099384
6,0.539296,78.6424,3.24926,24.0416,0.00099114
7,0.528155,79.5057,3.471546,18.2679,0.00098796
8,0.472913,81.6343,3.589342,21.912,0.00098429
9,0.517731,79.8486,3.684569,25.0828,0.00098015
10,0.500692,80.3453,3.782252,27.8277,0.00097553
11,0.442527,82.5686,3.667413,21.1074,0.00097044
